ID,Tanggal,Nama,Email,Telepon,Frekuensi Kunjungan,Pengeluaran,Menu Favorit,Rating Makanan,Rating Kebersihan,Rating Kecepatan,Rating Keramahan,Rating Harga,Rating Variasi,Rating Suasana,Rating Keseluruhan,Feedback
"17","12/5/2026, 11.13.57","pppp","ppp@gmail.com","123456789098","1-2 kali/bulan","Rp 25.000 - Rp 50.000","ayam pop","4","4","4","4","4","4","4","4","-"
"16","12/5/2026, 10.57.14","nana","nna@gmail.com","098765431231","3-5 kali/bulan","Rp 25.000 - Rp 50.000","rendang","5","4","5","4","5","4","5","5","-"
"15","12/5/2026, 10.55.56","nana","nna@gmail.com","098765431231","1-2 kali/bulan","Rp 25.000 - Rp 50.000","rendang","5","4","5","5","5","4","5","5","-"
"14","12/5/2026, 10.55.56","nana","nna@gmail.com","098765431231","1-2 kali/bulan","Rp 25.000 - Rp 50.000","rendang","5","4","5","5","5","4","5","5","-"
"13","12/5/2026, 10.55.56","nana","nna@gmail.com","098765431231","1-2 kali/bulan","Rp 25.000 - Rp 50.000","rendang","5","4","5","5","5","4","5","5","-"
"12","12/5/2026, 10.55.56","nana","nna@gmail.com","098765431231","1-2 kali/bulan","Rp 25.000 - Rp 50.000","rendang","5","4","5","5","5","4","5","5","-"
"11","12/5/2026, 10.55.56","nana","nna@gmail.com","098765431231","1-2 kali/bulan","Rp 25.000 - Rp 50.000","rendang","5","4","5","5","5","4","5","5","-"
"10","12/5/2026, 10.55.56","nana","nna@gmail.com","098765431231","1-2 kali/bulan","Rp 25.000 - Rp 50.000","rendang","5","4","5","5","5","4","5","5","-"
"9","12/5/2026, 10.55.56","nana","nna@gmail.com","098765432123","Pertama kali","Rp 25.000 - Rp 50.000","rendang","5","5","4","4","5","3","4","4","-"
"8","12/5/2026, 10.55.56","nana","nna@gmail.com","098765432123","Pertama kali","Rp 25.000 - Rp 50.000","rendang","5","5","4","4","5","3","4","4","-"
"7","12/5/2026, 10.55.56","nana","nna@gmail.com","098765432123","Pertama kali","Rp 25.000 - Rp 50.000","rendang","5","5","4","4","5","3","4","4","-"
"6","12/5/2026, 10.55.56","nana","nna@gmail.com","098765431231","1-2 kali/bulan","Rp 25.000 - Rp 50.000","rendang","5","4","5","5","5","4","5","5","-"
"5","12/5/2026, 10.55.56","nana","nna@gmail.com","098765432123","Pertama kali","Rp 25.000 - Rp 50.000","rendang","5","5","4","4","5","3","4","4","-"
"4","12/5/2026, 10.55.56","nana","nna@gmail.com","098765432123","Pertama kali","Rp 25.000 - Rp 50.000","rendang","5","5","4","4","5","3","4","4","-"
"3","12/5/2026, 10.55.56","nana","nna@gmail.com","098765431231","1-2 kali/bulan","Rp 25.000 - Rp 50.000","rendang","5","4","5","5","5","4","5","5","-"
"2","12/5/2026, 10.55.56","nana","nna@gmail.com","098765431231","1-2 kali/bulan","Rp 25.000 - Rp 50.000","rendang","5","4","5","5","5","4","5","5","-"
"1","12/5/2026, 10.55.56","nana","nna@gmail.com","098765432123","Pertama kali","Rp 25.000 - Rp 50.000","rendang","5","5","4","4","5","3","4","4","-"
